id_mostra,ruta_imatges,lot,M_aire(g),M_aigua(g),ge,MS1,MS2,MS3,h2,Volum,densitat,canal_NIR_raw,ref_NIR,divisió,y_1_norm,y_2_norm,y1_y2_norm
135,p4_70.png,L4,62.10,3.8,1.065180103,17.08985692,17.08300172,17.48593379,17.5,55.06124411,1.127835032,48077,19790,2.429358262,0.5576,0.4108,1.357351509
136,p4_71.png,L4,178.09,9.11,1.053911706,14.71177433,14.70536987,15.02733625,18.5,165.1837323,1.078132801,51915,12721,4.081047087,0.641,0.6208,1.03253866
137,p4_72.png,L4,73.73,3.9,1.055849921,15.12081538,15.11433338,15.45022624,17.6,66.07349293,1.115878649,63084,30867,2.043736029,0.6032,0.4645,1.298600646
138,p5_1.png,L5,349.00,25.8,1.079826733,20.18088166,20.17344059,20.68161163,20,330.3674647,1.056399426,33007,4450,7.417303371,0.5392,0.4968,1.085346216
139,p5_2.png,L5,216.00,12.3,1.060382916,16.0774586,16.07079529,16.43925862,18.8,198.2204788,1.089695683,57421,11856,4.843201754,0.6434,0.6066,1.060666007
140,p5_3.png,L5,359.00,,,,,,,,,58261,15104,3.857322564,0.6528,0.6003,1.087456272
141,p5_4.png,L5,322.00,28.5,1.097103918,23.8270589,23.81892675,24.45123782,19.8,308.342967,1.044291696,46624,5258.1,8.867081265,0.6426,0.6166,1.042166721
142,p5_5.png,L5,96.00,5.8,1.064301552,16.90444756,16.89762749,17.29424701,17.8,88.09799058,1.089695683,62986,21061,2.990646218,0.6753,0.551,1.225589837
143,p5_6.png,L5,110.00,8.2,1.080550098,20.33354073,20.32607073,20.83943929,17.9,99.1102394,1.109875233,62740,15280,4.106020942,0.6333,0.5932,1.067599461
144,p5_7.png,L5,221.00,14.1,1.068148864,17.7163843,17.70941034,18.13367356,18.9,209.2327276,1.056240114,60535,14572,4.154199835,0.6344,0.6088,1.042049934
145,p5_8.png,L5,220.00,15.6,1.076320939,19.44101904,19.4337182,19.91669941,19.7,297.3307182,0.7399168217,24467,2926.6,8.360213217,0.6741,0.6355,1.060739575
146,p5_9.png,L5,129.11,7.6,1.062546292,16.53401757,16.52726771,16.91127534,18.1,121.134737,1.065837952,62540,15422,4.055245753,0.653,0.5884,1.109789259
147,p5_10.png,L5,244.00,15,1.065502183,17.15782879,17.1509607,17.55620699,19.1,231.2572253,1.055102169,46801,5837.6,8.017164588,0.6337,0.5939,1.067014649
148,p5_11.png,L5,338.00,20,1.062893082,16.60720397,16.60044025,16.98693962,19.7,297.3307182,1.136781299,15242,2576,5.916925466,0.6971,0.5908,1.179925525
149,p5_12.png,L5,185.51,13,1.07535795,19.23778982,19.23052751,19.70658945,18.6,176.1959812,1.052861699,60615,10170,5.960176991,0.6657,0.5949,1.119011599
150,p5_13.png,L5,349.00,23.3,1.071538225,18.43167508,18.42456555,18.87318201,20,330.3674647,1.056399426,29878,3446.4,8.669336119,0.6408,0.6125,1.046204082
151,p5_14.png,L5,218.00,15.4,1.076011846,19.37578798,19.36849951,19.84925982,18.8,198.2204788,1.099785458,58737,10568,5.558005299,0.6663,0.6412,1.039145352
152,p5_15.png,L5,115.00,6.3,1.057957682,15.56563714,15.55907084,15.91010837,18,110.1224882,1.044291696,56895,14309,3.976168845,0.6531,0.6004,1.087774817
153,p5_16.png,L5,111.92,7.1,1.067735165,17.62907723,17.62211982,18.04341053,17.9,99.1102394,1.1292476,61107,12959,4.71541014,0.6737,0.5359,1.257137526
154,p5_17.png,L5,127.85,9.1,1.076631579,19.50657642,19.49926316,19.98447638,18,110.1224882,1.160979942,60551,17053,3.550753533,0.6857,0.6043,1.134701307
155,p5_18.png,L5,349.00,25.8,1.079826733,20.18088166,20.17344059,20.68161163,,-1872.0823,-0.1864234281,33007,4450,7.417303371,0.6456,0.5856,1.102459016
156,p5_19.png,L5,216.00,12.3,1.060382916,16.0774586,16.07079529,16.43925862,,-1872.0823,-0.1153795429,57421,11856,4.843201754,0.6381,0.6134,1.040267362
157,p5_20.png,L5,359.00,,,,,,,,,58261,15104,3.857322564,0.6659,0.6051,1.10047926
158,p5_21.png,L5,322.00,28.5,1.097103918,23.8270589,23.81892675,24.45123782,19.8,308.342967,1.044291696,46624,5258.1,8.867081265,0.5659,0.5285,1.07076632
159,p5_22.png,L5,96.00,5.8,1.064301552,16.90444756,16.89762749,17.29424701,17.8,88.09799058,1.089695683,62986,21061,2.990646218,0.5911,0.5447,1.085184505
160,p5_23.png,L5,110.00,8.2,1.080550098,20.33354073,20.32607073,20.83943929,17.9,99.1102394,1.109875233,62740,15280,4.106020942,0.6661,0.6163,1.080804803
161,p5_24.png,L5,221.00,14.1,1.068148864,17.7163843,17.70941034,18.13367356,18.9,209.2327276,1.056240114,60535,14572,4.154199835,0.6476,0.6073,1.066359295
162,p5_25.png,L5,220.00,15.6,1.076320939,19.44101904,19.4337182,19.91669941,19.7,297.3307182,0.7399168217,24467,2926.6,8.360213217,0.6362,0.5829,1.091439355
163,p5_26.png,L5,129.11,7.6,1.062546292,16.53401757,16.52726771,16.91127534,18.1,121.134737,1.065837952,62540,15422,4.055245753,0.6636,0.6134,1.081838931
164,p5_27.png,L5,244.00,15,1.065502183,17.15782879,17.1509607,17.55620699,19.1,231.2572253,1.055102169,46801,5837.6,8.017164588,0.6575,0.6247,1.052505202
165,p5_28.png,L5,338.00,20,1.062893082,16.60720397,16.60044025,16.98693962,19.7,297.3307182,1.136781299,15242,2576,5.916925466,0.6715,0.5665,1.185348632
166,p5_29.png,L5,185.51,13,1.07535795,19.23778982,19.23052751,19.70658945,18.6,176.1959812,1.052861699,60615,10170,5.960176991,0.6398,0.584,1.095547945
167,p5_30.png,L5,349.00,23.3,1.071538225,18.43167508,18.42456555,18.87318201,20,330.3674647,1.056399426,29878,3446.4,8.669336119,0.6559,0.621,1.056199678
